generation,frames,population_size,survivors_at_end,lives_remaining,avg_fitness,best_fitness,worst_fitness,shots_fired,kills,enemy_escapes,player_deaths,wave_clears,level_failures,kill_per_shot,survival_reward_total,kill_reward_total,wave_clear_reward_total,shot_penalty_total,death_penalty_total,enemy_escape_penalty_total,level_fail_penalty_total
38,576,10,0,0,3.689,5.77,1.42,13,1,5,6,0,1,0.07692,92.02,4.0,0.0,-0.13,-24.0,-27.0,-8.0
39,604,10,0,0,6.447,7.7,6.13,36,1,5,1,0,1,0.02778,118.08,4.0,0.0,-0.36,-4.0,-35.25,-18.0
40,617,10,0,0,6.706,10.38,5.19,44,1,5,2,0,1,0.02273,122.0,4.0,0.0,-0.44,-8.0,-34.5,-16.0
41,506,10,0,0,3.758,4.37,2.28,33,0,5,3,0,1,0.0,99.16,0.0,0.0,-0.33,-12.0,-35.25,-14.0
42,454,10,0,0,3.716,7.19,3.33,14,1,5,0,0,1,0.07143,90.8,4.0,0.0,-0.14,0.0,-37.5,-20.0
43,522,10,0,0,5.778,16.52,4.1,53,3,5,1,0,1,0.0566,102.06,12.0,0.0,-0.53,-4.0,-33.75,-18.0
44,498,10,0,0,3.012,4.04,2.21,58,0,5,9,0,1,0.0,85.2,0.0,0.0,-0.58,-36.0,-16.5,-2.0
45,606,10,0,0,5.646,9.55,1.4,93,2,5,3,0,1,0.02151,110.64,8.0,0.0,-0.93,-12.0,-35.25,-14.0
46,607,10,0,0,5.916,6.39,4.35,72,0,5,2,0,1,0.0,116.88,0.0,0.0,-0.72,-8.0,-33.0,-16.0
47,406,10,0,0,2.743,6.24,2.23,27,1,5,0,0,1,0.03704,81.2,4.0,0.0,-0.27,0.0,-37.5,-20.0
48,601,10,0,0,4.121,7.36,3.35,38,1,5,9,0,1,0.02632,79.34,4.0,0.0,-0.38,-36.0,-3.75,-2.0
49,469,10,0,0,3.924,7.52,1.28,36,2,5,2,0,1,0.05556,85.6,8.0,0.0,-0.36,-8.0,-30.0,-16.0
