generation,frames,population_size,survivors_at_end,lives_remaining,avg_fitness,best_fitness,worst_fitness,shots_fired,kills,enemy_escapes,player_deaths,wave_clears,level_failures,kill_per_shot,survival_reward_total,kill_reward_total,wave_clear_reward_total,shot_penalty_total,death_penalty_total,enemy_escape_penalty_total,level_fail_penalty_total
32,15692,10,0,2,3.78367,13.615,-2.98167,482,34,92,17,1,13,0.07054,156.92,272.0,3.0,-2.41,-185.0,-92.0,-39.0
33,14843,10,0,2,4.24817,12.59333,-2.725,397,31,99,12,0,18,0.07809,148.43,248.0,0.0,-1.985,-114.0,-99.0,-54.0
34,13440,10,0,3,0.4235,9.11833,-7.88,339,26,65,20,1,10,0.0767,134.4,208.0,3.0,-1.695,-236.0,-65.0,-30.0
35,13304,10,0,3,3.352,18.78833,-8.94667,296,34,70,20,1,10,0.11486,133.04,284.0,3.0,-1.48,-218.0,-70.0,-30.0
36,14575,10,0,2,3.9985,14.39833,-10.17,359,32,92,14,0,16,0.08914,145.75,256.0,0.0,-1.795,-140.0,-92.0,-48.0
37,14328,10,0,2,3.15,11.045,-4.56,356,29,91,14,0,16,0.08146,143.28,232.0,0.0,-1.78,-140.0,-91.0,-48.0
38,15293,10,0,1,3.65883,13.93,-7.93,433,29,111,9,0,21,0.06697,152.93,232.0,0.0,-2.165,-99.0,-111.0,-63.0
39,16672,10,0,1,4.43617,18.74,-6.59833,527,35,106,13,1,17,0.06641,166.72,280.0,3.0,-2.635,-157.0,-106.0,-51.0
40,16622,10,0,1,3.9525,14.46833,-5.17333,529,30,123,9,2,21,0.05671,166.22,240.0,6.0,-2.645,-105.0,-123.0,-63.0
41,15938,10,0,1,4.17233,17.395,-4.895,442,32,113,10,1,20,0.0724,159.38,256.0,3.0,-2.21,-118.0,-113.0,-60.0
42,12839,10,0,2,-0.42133,5.525,-7.37167,206,21,82,16,0,14,0.10194,128.39,168.0,0.0,-1.03,-184.0,-82.0,-42.0
43,13956,10,0,2,-0.75533,20.165,-10.67,244,19,92,17,1,13,0.07787,139.56,152.0,3.0,-1.22,-185.0,-92.0,-39.0
44,13842,10,0,2,2.6705,14.74833,-6.20167,261,31,83,15,0,15,0.11877,138.42,248.0,0.0,-1.305,-177.0,-83.0,-45.0
45,16473,10,0,2,6.805,16.84833,-2.14167,316,45,95,17,2,13,0.14241,164.73,360.0,6.0,-1.58,-191.0,-95.0,-39.0
46,14187,10,0,3,2.41717,16.63333,-10.59667,271,31,73,18,1,12,0.11439,141.87,248.0,3.0,-1.355,-210.0,-73.0,-36.0
47,14489,10,0,2,-0.85183,7.59333,-5.51667,289,15,101,14,0,16,0.0519,144.89,120.0,0.0,-1.445,-140.0,-101.0,-48.0
48,15331,10,0,1,4.145,19.39667,-5.36167,392,31,113,9,0,21,0.07908,153.31,248.0,0.0,-1.96,-99.0,-113.0,-63.0
49,16023,10,0,1,3.1655,17.73667,-5.665,453,28,118,10,1,20,0.06181,160.23,224.0,3.0,-2.265,-112.0,-118.0,-60.0
0,15041,10,0,2,0.70133,12.40667,-9.17833,274,21,98,15,2,15,0.07664,150.41,168.0,6.0,-1.37,-159.0,-98.0,-45.0
1,15742,10,0,2,6.65933,35.07833,-4.57833,528,43,87,17,2,13,0.08144,157.42,344.0,6.0,-2.64,-179.0,-87.0,-39.0
2,14778,10,0,2,4.78533,26.15833,-7.23167,444,36,88,16,0,14,0.08108,147.78,288.0,0.0,-2.22,-160.0,-88.0,-42.0
3,14440,10,0,3,4.03933,13.95167,-10.46167,444,42,57,27,2,3,0.09459,144.4,336.0,6.0,-2.22,-297.0,-57.0,-9.0
4,14049,10,0,2,1.31883,11.64,-5.88833,385,24,101,13,0,17,0.06234,140.49,192.0,0.0,-1.925,-139.0,-101.0,-51.0
5,19780,10,0,1,10.02817,24.62,-7.01167,591,49,112,15,6,15,0.08291,197.8,404.0,18.0,-2.955,-159.0,-112.0,-45.0
6,16999,10,0,2,6.53733,22.155,-5.85,574,41,105,14,4,16,0.07143,169.99,328.0,12.0,-2.87,-158.0,-105.0,-48.0
7,14911,10,0,2,4.765,16.96,-8.05667,432,36,95,14,1,16,0.08333,149.11,288.0,3.0,-2.16,-152.0,-95.0,-48.0
8,14457,10,0,2,2.24833,13.11667,-4.39833,424,27,97,14,0,16,0.06368,144.57,216.0,0.0,-2.12,-146.0,-97.0,-48.0
9,15909,10,0,1,4.60367,19.675,-2.91667,396,33,117,10,0,20,0.08333,159.09,264.0,0.0,-1.98,-106.0,-117.0,-60.0
10,14102,10,0,2,4.55683,16.62333,-1.01833,463,35,94,14,0,16,0.07559,141.02,280.0,0.0,-2.315,-140.0,-94.0,-48.0
11,14054,10,0,2,4.07533,12.62833,-5.765,456,36,88,15,0,15,0.07895,140.54,288.0,0.0,-2.28,-171.0,-88.0,-45.0
12,16415,10,0,1,6.98867,17.70167,-1.77333,498,39,129,9,1,21,0.07831,164.15,312.0,3.0,-2.49,-75.0,-129.0,-63.0
13,13688,10,0,2,2.47483,16.685,-5.81333,327,30,81,19,0,11,0.09174,136.88,240.0,0.0,-1.635,-187.0,-81.0,-33.0
14,16153,10,0,2,4.63233,19.64833,-6.015,512,35,85,20,1,10,0.06836,161.53,280.0,3.0,-2.56,-188.0,-85.0,-30.0
15,14876,10,0,2,7.12067,12.935,-3.16333,428,44,85,17,0,13,0.1028,148.76,352.0,0.0,-2.14,-161.0,-85.0,-39.0
16,13507,10,0,3,3.55983,11.57667,-2.915,455,38,71,19,1,11,0.08352,135.07,304.0,3.0,-2.275,-229.0,-71.0,-33.0
17,18376,10,0,2,10.2205,32.85333,0.87167,629,55,78,20,2,10,0.08744,183.76,452.0,6.0,-3.145,-224.0,-78.0,-30.0
18,13805,10,0,3,8.6255,26.235,-0.58833,457,56,63,22,2,8,0.12254,138.05,448.0,6.0,-2.285,-244.0,-63.0,-24.0
19,14413,10,0,3,5.72683,14.85833,-5.75,465,44,61,24,1,6,0.09462,144.13,352.0,3.0,-2.325,-246.0,-61.0,-18.0
20,13641,10,0,2,5.34267,22.67667,-8.085,426,39,75,16,1,14,0.09155,136.41,312.0,3.0,-2.13,-172.0,-75.0,-42.0
21,13844,10,0,3,0.26833,11.24833,-7.36,478,26,63,21,1,9,0.05439,138.44,208.0,3.0,-2.39,-249.0,-63.0,-27.0
22,16320,10,0,2,6.41667,28.77167,-3.685,540,43,84,18,2,12,0.07963,163.2,356.0,6.0,-2.7,-210.0,-84.0,-36.0
0,15041,10,0,2,0.70133,12.40667,-9.17833,274,21,98,15,2,15,0.07664,150.41,168.0,6.0,-1.37,-159.0,-98.0,-45.0
1,15742,10,0,2,6.65933,35.07833,-4.57833,528,43,87,17,2,13,0.08144,157.42,344.0,6.0,-2.64,-179.0,-87.0,-39.0
2,14778,10,0,2,4.78533,26.15833,-7.23167,444,36,88,16,0,14,0.08108,147.78,288.0,0.0,-2.22,-160.0,-88.0,-42.0
3,14440,10,0,3,4.03933,13.95167,-10.46167,444,42,57,27,2,3,0.09459,144.4,336.0,6.0,-2.22,-297.0,-57.0,-9.0
4,14049,10,0,2,1.31883,11.64,-5.88833,385,24,101,13,0,17,0.06234,140.49,192.0,0.0,-1.925,-139.0,-101.0,-51.0
5,19780,10,0,1,10.02817,24.62,-7.01167,591,49,112,15,6,15,0.08291,197.8,404.0,18.0,-2.955,-159.0,-112.0,-45.0
